Cust_ID,Cust_firstname,Cust_lastname,Cust_email,Cust_phone_number,Cust_password,Cust_sex,Cust_country,Cust_region,Cust_department,Cust_district,Cust_date_register
A000020,Fama,Dieye,famadieye81@gmail.com,221787983005,b'$2b$12$9WcEQOPqZa3F25uXGRFqLuRXywacefdp0Uqo6WCCNpCW.wkd1oQoi',Féminin,Sénégal,Thiès,Thiès,Ngoundiane,2022-03-20
A000021,Aicha,Sagna,aichasagna6@gmail.com,221774160499,b'$2b$12$uGFf3PlJtaFSvc.WBRn65uCZmU/c5oiatpaopGl2tjy7I10P2JyCy',Féminin,Sénégal,Kaolack,Kaolack,Ndiaffate,2022-03-20
A000022,Abdou,Diamanka,abdoudiamanka@gmail.com,221771545961,b'$2b$12$veizFY0Nsg7lySk3pjUeAOr0tgomFoZ9oqtiHSeVLcxZaIQQgiGDK',Masculin,Sénégal,Dakar,Dakar,Hlm,2022-03-22
A000023,Abdoulaye,Sam,abdoulayesam92@gmail.com,221776361782,b'$2b$12$WHsalQG4w5ZG15pwmIBrxufIqgGqX2wv/VAsmhb/VNzlgP1/h3f8G',Masculin,Sénégal,Dakar,Guédiawaye,Ndiareme,2022-03-23
A000024,Lamine,Niang,lamineniang@gmail.com,221786288713,b'$2b$12$M28DMsaXx.iEh45VW/h7x.WZ9rHPpRs8kNpLwYJn/lk7H9tDvDHcm',Masculin,Sénégal,Dakar,Guédiawaye,Medina Gounass,2022-03-23
A000025,Adama,Thiare,adamathiare7@gmail.com,221789900533,b'$2b$12$IuFjIuyue9haIrpZ/JnuB.jx6CzJ0R56VZ.Q26yFWT9M4Rx.o8GB2',Masculin,Sénégal,Dakar,Dakar,Mermoz Sacre Coeur,2022-03-28
A000026,Binta,Cissokho,bintacissokho8@gmail.com,221787117271,b'$2b$12$kKC7C7MlTM6wW/OzTcS9k.53QNKnxQYIVRRpNRYPpJrf28h//lPF2',Féminin,Sénégal,Thiès,Thiès,Ngoundiane,2022-03-29
A000027,Mary,Faye,maryfaye43@gmail.com,221782539808,b'$2b$12$i/fk5QH9cXFN/oUaWMzXh.d2Wglp3OW4/JE/XXniLUNaaMxcgaOHC',Féminin,Sénégal,Kaolack,Guinguineo,Ngagnick,2022-04-01
A000028,Thérèse,Guisse,thereseguisse@gmail.com,221782861114,b'$2b$12$/.jPNCncXIQI.0fZB.msReyPpwsy2Vi2Hznl.YTZH4prxMQ6FJ/C2',Féminin,Sénégal,Dakar,Dakar,Plateau,2022-04-05
A000029,Halimatou,Boye,halimatouboye4@gmail.com,221773403051,b'$2b$12$XlPtlC3VQhLwWqNnU.KgzuAuDQfFYNpHvAv9y5NC/8xet1tl357iS',Féminin,Sénégal,Thiès,Tivaouane,Meouane,2022-04-08
A000030,Marcella,Mendy,marcellamendy@gmail.com,221780202320,b'$2b$12$g3/ryoablTxcNRbvN0hpAOY36ATjaYwHDhnPFaO8dge9tZ581OHBG',Féminin,Sénégal,Thiès,Mbour,Ngueniene,2022-04-10
A000031,Diarrie,Sagna,diarriesagna@gmail.com,221789047587,b'$2b$12$QLlcqISVuBPKXKzFN.QnweSpPE.5lPAg8g4.TZviF5N/Aj4pVhK7e',Féminin,Sénégal,Dakar,Pikine,Pikine Ouest,2022-04-11
A000032,Elisabeth,Diamanka,elisabethdiamanka6@gmail.com,221772616812,b'$2b$12$ISIQMI9tiYMI1fww.m8MS.IemRnPERmRbVbe66RYIKN0aLgVf4QiO',Féminin,Sénégal,Dakar,Rufisque,Bambylor,2022-04-11
A000033,Cécilia,Mbow,ceciliambow@gmail.com,221785262433,b'$2b$12$Ld1.RD1OTvP0udcyX4X3Y.Yc6FMY1sv4P7.5s4Znvr/TqwBdHGhMW',Féminin,Sénégal,Kaolack,Nioro Du Rip,Medina Sabakh,2022-04-12
A000034,Odette,Cisse,odettecisse@gmail.com,221781490058,b'$2b$12$nNh1E5WaYe95xgFxB4yj8.ncE8vjKcZE.OQ/DCseilZHRUysdbt/O',Féminin,Sénégal,Dakar,Dakar,Patte D'Oie,2022-04-15
A000035,Rama,Niasse,ramaniasse@gmail.com,221783614404,b'$2b$12$lztK1yygn06O4AcwIENu9uEr8t3kaTVqZjJGQf9ElTA/2Ct9TUmQa',Féminin,Sénégal,Thiès,Tivaouane,Meouane,2022-04-17
A000036,Fatou,Ly,fatouly9@gmail.com,221774500741,b'$2b$12$TB61sGCDZKfp1XEMrGzkPOT7ADw5APhfpy5Dbm6O9ns20bUIuU2La',Féminin,Sénégal,Ziguinchor,Ziguinchor,Niassia,2022-04-17
A000037,Aissata,Yade,aissatayade@gmail.com,221777201362,b'$2b$12$a8TWLEuvPAWOThkgZOL15.3pX.6rtUJ3V7XJpDZb.0.jjMVF3BpLa',Féminin,Sénégal,Dakar,Dakar,Ngor,2022-04-17
A000038,Aissatou,Mendy,aissatoumendy44@gmail.com,221778619685,b'$2b$12$ZwPdc2nAtMtel6ILB4n8oO3JjjdQBgBKsGDVJmYtaToDrlC1TKxFi',Féminin,Sénégal,Kaolack,Nioro Du Rip,Medina Sabakh,2022-04-18
A000039,Cécilia,Diallo,ceciliadiallo97@gmail.com,221788234642,b'$2b$12$PRYYuymg7DbV16hn3oF5cu92XGfQs4Ia36MY3q/tInedcviaAf5gC',Féminin,Sénégal,Thiès,Tivaouane,Cherif Lo,2022-04-18
A000040,Moustapha,Diagne,moustaphadiagne8@gmail.com,221770046311,b'$2b$12$eK5ua4SngcRJCPw4tBctduADK4Q.t5xgRw4pA2Nn6tLuosmSZUHnS',Masculin,Sénégal,Dakar,Dakar,Grand Dakar,2022-04-21
